numero_licencia,numero_economico,monto_a_pagar,placa_del_agente,lugar,hora,razon
K8398482,110,272,800625,7 LUDINGTON STREET,10:03 AM,CIRCULAR SIN LICENCIA
P7858249,190,1945,50582,79 FAIR OAKS WAY,7:10 PM,INVADIR EL CARRIL DEL METROBUS
P4912392,133,390,733264,925 HAAS CENTER,6:57 PM,INVADIR EL CARRIL DEL METROBUS
V9967055,58,1695,892657,828 MILLER CROSSING,9:43 AM,USO DE CELULAR A BORDO DEL VEHÍCULO
E9908548,126,319,991941,6 SOMMERS LANE,2:51 AM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
R0346220,9,1362,601555,05 NORWAY MAPLE CROSSING,1:10 AM,CIRCULAR SIN LICENCIA
H2988597,211,460,692490,49 BAYSIDE CROSSING,6:01 PM,INVADIR EL CARRIL DEL METROBUS
F4466837,191,847,709958,62180 BAYSIDE WAY,3:05 PM,USO DE CELULAR A BORDO DEL VEHÍCULO
B0550143,21,1694,586902,034 MEMORIAL WAY,7:52 PM,CIRCULAR SIN LICENCIA
V3063821,35,1695,369776,0116 HOOKER ROAD,6:55 PM,USO DE CELULAR A BORDO DEL VEHÍCULO
N8047442,182,984,121013,6 HALLOWS ALLEY,9:48 AM,USO DE CELULAR A BORDO DEL VEHÍCULO
I2482188,116,579,921895,25 TRANSPORT TERRACE,11:00 PM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
D2701354,40,1451,806437,7 HANOVER CENTER,10:15 PM,INVADIR EL CARRIL DEL METROBUS
O6025142,209,1776,769409,69 CARPENTER ROAD,11:19 PM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
N7414448,210,631,773857,40 JACKSON DRIVE,11:12 PM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
Y3415472,65,1748,861300,609 CLARENDON ALLEY,4:02 PM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
E6562225,55,626,143205,60 RANDY WAY,7:54 PM,INVADIR EL CARRIL DEL METROBUS
M3474104,159,411,287243,0 EASTLAWN PARK,3:05 AM,INVADIR EL CARRIL DEL METROBUS
F3644392,3,1691,541152,6 MORNINGSTAR COURT,11:28 AM,INVADIR EL CARRIL DEL METROBUS
H7611062,80,794,529407,126 JANA TERRACE,1:22 AM,INVADIR EL CARRIL DEL METROBUS
Z1633251,268,1494,25736,58463 HARBORT LANE,5:42 AM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
U0534369,105,919,761019,3 BARTILLON COURT,4:54 AM,CIRCULAR SIN LICENCIA
M6968246,204,1805,882955,0 GINA AVENUE,6:57 AM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
I7238837,131,351,324982,36 GULSETH HILL,3:27 PM,USO DE CELULAR A BORDO DEL VEHÍCULO
P4307853,167,577,420085,92893 HEFFERNAN PLAZA,9:31 PM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
L7703917,258,1404,350895,7617 POND COURT,3:59 PM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
E7215980,234,1678,799374,43499 MONICA ROAD,11:19 PM,USO DE CELULAR A BORDO DEL VEHÍCULO
B3434454,210,1478,3882,6 MESSERSCHMIDT CENTER,1:24 PM,USO DE CELULAR A BORDO DEL VEHÍCULO
K2070726,58,618,302216,8389 DI LORETO WAY,11:37 AM,EXCESO DE VELOCIDAD
L9240855,63,969,229699,8 REINDAHL CROSSING,10:56 PM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
L2293248,167,594,144253,15434 SPAIGHT ALLEY,4:38 PM,EXCESO DE VELOCIDAD
G8301122,241,1415,161945,4 SPRINGVIEW AVENUE,4:04 AM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
R4112123,130,623,125426,4 RED CLOUD PARKWAY,8:08 PM,INVADIR EL CARRIL DEL METROBUS
G3673800,248,234,915529,7775 NOVA JUNCTION,4:28 AM,INVADIR EL CARRIL DEL METROBUS
D1747876,100,1269,942301,867 EAGAN PLAZA,6:31 PM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
U2369142,230,1880,767012,1 GERALD JUNCTION,1:33 AM,USO DE CELULAR A BORDO DEL VEHÍCULO
N2580123,193,689,439269,824 GULSETH LANE,1:17 PM,CIRCULAR SIN LICENCIA
D7719268,226,1124,380862,95230 AMERICAN ASH PASS,2:42 PM,EXCESO DE VELOCIDAD
T8556141,81,1348,821472,70 PORTER TERRACE,4:46 PM,USO DE CELULAR A BORDO DEL VEHÍCULO
S0706013,119,654,430925,6 CROWNHARDT COURT,10:52 PM,CIRCULAR SIN LICENCIA
B1889924,237,683,442778,9740 COMANCHE TERRACE,9:45 PM,CIRCULAR SIN LICENCIA
T3518329,14,276,183601,3376 NORTH STREET,8:31 AM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
I5523638,218,860,590492,2 FREMONT ROAD,5:20 AM,EXCESO DE VELOCIDAD
D4001072,3,959,669381,5002 BUTTERFIELD STREET,4:55 PM,INVADIR EL CARRIL DEL METROBUS
T6965563,12,1910,221549,486 SLOAN CENTER,8:49 PM,INVADIR EL CARRIL DEL METROBUS
J0847748,198,1833,169374,7956 NORTHRIDGE AVENUE,7:19 AM,CIRCULAR SIN LICENCIA
Y6626892,118,412,947929,65 KROPF POINT,4:02 PM,EXCESO DE VELOCIDAD
P0096944,92,712,682148,41 NORTHFIELD POINT,11:11 AM,CONDUCIR BAJO LOS EFECTOS DEL ALCOHOL
L7299586,182,650,434406,41 KINGS AVENUE,8:03 AM,USO DE CELULAR A BORDO DEL VEHÍCULO
D6491056,141,348,303020,546 FARMCO TRAIL,7:30 AM,CIRCULAR SIN LICENCIA
